goal	rule	score
p3(X9, X0)	p3(a52, a35)	1
p3(a10, X0)	p3(X4, a15) :- p2(X4), p5(X4)	1
p2(X3)	p2(a64)	1
p3(X3, X0)	p3(a21, a1)	1
p7(X6)	p7(a50)	1
p0(a75, a36, X0)	p0(a75, a36, a29)	1
p7(X8)	p7(a1)	1
p3(X7, X0)	p3(a41, a53)	1
p0(X0, X1, a29)	p0(a75, a36, a29)	1
p2(X9)	p2(a52)	1
p3(X8, X0)	p3(a79, a19)	1
p9(X5)	p9(a0)	1
p2(X2)	p2(a19)	1
p2(a38)	p2(X8) :- p9(X8)	1
p9(X4)	p9(a5)	1
p8(X6)	p8(a34)	1
p3(X7, X0)	p3(a48, a0)	1
p5(a27)	p5(a27)	1
p2(a61)	p2(X7) :- p2(X7)	1
p5(X8)	p5(a81)	1
p8(X7)	p8(a1)	1
p3(X0, X1)	p3(a87, a0)	1
p9(X8)	p9(a15)	1
p5(X0)	p5(a4)	1
p5(X1)	p5(a57)	1
p2(a69)	p2(X8) :- p9(X8)	1
p2(a17)	p2(X7) :- p2(X7)	1
p3(X3, X0)	p3(a35, a1)	1
p3(X6, X0)	p3(a15, a82)	1
p2(X7)	p2(a95)	1
p7(X8)	p7(a13)	1
p3(X1, X2)	p3(a15, a82)	1
p2(X9)	p2(a40)	1
p5(X7)	p5(a88)	1
p5(X6)	p5(a21)	1
p3(X0, X1)	p3(a31, a68)	1
p3(X9, X0)	p3(a35, a1)	1
p0(a45, X0, X1)	p0(a45, a50, a0)	1
p0(X0, X1, X2)	p0(a45, a85, a30) :- p8(X5)	1
p5(a57)	p5(a57)	1
p0(X6, X0, X1)	p0(X3, a2, X3) :- p6(X3, X3), p2(X3)	1
p2(X5)	p2(a19)	1
p5(X3)	p5(a11)	1
p3(X4, X0)	p3(a15, a82)	1
p3(X7, X0)	p3(a10, a2)	1
p9(X0)	p9(a8)	1
p2(X0)	p2(a98)	1
p2(X8)	p2(a41)	1
p3(X8, X5)	p3(a67, a14)	1
p0(X6, X0, X1)	p0(a45, a85, a30) :- p8(X5)	1
p5(X0)	p5(a95)	1
p9(X8)	p9(a61)	1
p5(X2)	p5(a0)	1
p3(X3, X0)	p3(a29, a17)	1
p8(X4)	p8(a10)	1
p9(X2)	p9(a0)	1
p2(X3)	p2(a90)	1
p3(X0, X8)	p3(a41, a53)	1
p2(X2)	p2(a64)	1
p5(X7)	p5(a43)	1
p3(X0, a0)	p3(a87, a0)	1
p3(X0, X8)	p3(a48, a0)	1
p2(a49)	p2(X7) :- p2(X7)	1
p0(X5, X0, X1)	p0(a10, a49, a17)	1
p5(X4)	p5(a4)	1
p0(X3, X0, X1)	p0(a10, a49, a17)	1
p2(X1)	p2(a19)	1
p9(X6)	p9(a10)	1
p8(a10)	p8(a10)	1
p2(X2)	p2(a27)	1
p2(X0)	p2(a95)	1
p7(X2)	p7(a10)	1
p2(X6)	p2(X7) :- p2(X7)	1
p9(X3)	p9(a49)	1
p3(X8, X5)	p3(a18, a50)	1
p2(X6)	p2(a17)	1
p3(X3, X0)	p3(a67, a14)	1
p0(X1, X0, X2)	p0(a23, a21, a10)	1
p3(X1, X2)	p3(a67, a14)	1
p2(X4)	p2(a0)	1
p3(X8, X0)	p3(a15, a82)	1
p0(X6, X0, X1)	p0(a26, a82, a20)	1
p0(X3, X0, X1)	p0(a44, a19, a27)	1
p3(X8, X0)	p3(X4, a15) :- p2(X4), p5(X4)	1
p0(X9, X0, X1)	p0(a45, a85, a30) :- p8(X5)	1
p2(X5)	p2(a1)	1
p0(X7, X6, X7)	p0(X3, a2, X3) :- p6(X3, X3), p2(X3)	1
p3(X0, X1)	p3(a96, a65)	1
p3(X4, X0)	p3(a87, a0)	1
p6(X5, X7)	p6(a75, a0)	1
p0(X0, a4, a55)	p0(a37, a4, a55)	1
p2(X9)	p2(X8) :- p9(X8)	1
p5(X5)	p5(a27)	1
p3(X2, X0)	p3(a41, a53)	1
p5(X9)	p5(a81)	1
p5(X1)	p5(a98)	1
p3(X0, X8)	p3(a10, a2)	1
p5(X4)	p5(a95)	1
p0(X6, X0, X1)	p0(a37, a4, a55)	1
p6(X3, X3)	p6(a19, X6) :- p7(X6), p8(X6)	1
p6(X5, X7)	p6(a0, a11)	1
p3(X2, X0)	p3(a48, a0)	1
p5(X0)	p5(a19)	1
p0(X1, X0, X2)	p0(a19, a85, a63)	1
p2(X9)	p2(a90)	1
p8(X7)	p8(a52)	1
p0(X8, X0, X1)	p0(a2, a15, a21)	1
p6(a19, a19)	p6(X2, X2) :- p0(X2, X0, X9)	1
p0(X0, X1, a19)	p0(X3, a2, X3) :- p6(X3, X3), p2(X3)	1
p2(X2)	p2(a24)	1
p3(X9, X3)	p3(a21, a1)	1
p7(X4)	p7(a84)	1
p5(X9)	p5(a24)	1
p7(X7)	p7(a0)	1
p1(X1, a30, X0)	p1(a79, a30, a76)	1
p2(X4)	p2(a88)	1
p5(X8)	p5(a27)	1
p7(X1)	p7(a15)	1
p7(X6)	p7(a98)	1
p9(X5)	p9(a49)	1
p9(a38)	p9(a38)	1
p8(X1)	p8(a3)	1
p2(X5)	p2(a52)	1
p5(X8)	p5(a21)	1
p3(X5, X0)	p3(X4, a15) :- p2(X4), p5(X4)	1
p7(X0)	p7(a44)	1
p7(a3)	p7(a3)	1
p2(X0)	p2(X7) :- p2(X7)	1
p3(X0, X1)	p3(X4, a15) :- p2(X4), p5(X4)	1
p3(X2, X0)	p3(a31, a68)	1
p2(X0)	p2(a17)	1
p0(X1, X0, X2)	p0(a44, a19, a27)	1
p2(a95)	p2(X7) :- p2(X7)	1
p2(X2)	p2(a65)	1
p0(X0, X1, X7)	p0(a90, a25, a16)	1
p0(X9, X0, X1)	p0(a37, a4, a55)	1
p5(X4)	p5(a98)	1
p2(X7)	p2(a19)	1
p3(X7, X0)	p3(a35, a0)	1
p1(a79, a30, X0)	p1(a79, a30, a76)	1
p3(X1, X0)	p3(a10, a2)	1
p9(a15)	p9(a15)	1
p2(X4)	p2(a1)	1
p0(X1, X0, X2)	p0(a22, a24, a0)	1
p9(X5)	p9(a87)	1
p2(X5)	p2(a40)	1
p6(X5, X7)	p6(a19, X6) :- p7(X6), p8(X6)	1
p6(a14, a14)	p6(X2, X2) :- p0(X2, X0, X9)	1
p0(X0, X1, X7)	p0(a31, a50, a0)	1
p9(X6)	p9(a12)	1
p0(X0, X1, X7)	p0(a45, a50, a0)	1
p8(X4)	p8(a28)	1
p2(X7)	p2(X8) :- p9(X8)	1
p5(a1)	p5(a1)	1
p6(X0, X1)	p6(a21, a12)	1
p0(X6, X0, X1)	p0(a0, a17, a64)	1
p0(X0, X1, X2)	p0(a44, a19, a27)	1
p7(X6)	p7(a27)	1
p3(X9, X0)	p3(a10, a2)	1
p2(X7)	p2(a90)	1
p8(X8)	p8(a24)	1
p5(X6)	p5(a43)	1
p2(X5)	p2(a65)	1
p0(X7, X0, X1)	p0(a45, a50, a0)	1
p8(X4)	p8(a34)	1
p2(X2)	p2(a42)	1
p3(a41, X0)	p3(a41, a53)	1
p1(X1, a13, X0)	p1(a81, a13, a11)	1
p6(X5, X7)	p6(a1, a67) :- p9(X1)	1
p6(a24, a24)	p6(X2, X2) :- p0(X2, X0, X9)	1
p0(X0, X1, X7)	p0(a2, a15, a21)	1
p3(X3, X0)	p3(a35, a0)	1
p8(X7)	p8(a0)	1
p7(X2)	p7(a50)	1
p2(a24)	p2(X7) :- p2(X7)	1
p8(X7)	p8(a19)	1
p3(X4, X0)	p3(a21, a1)	1
p2(a40)	p2(a40)	1
p3(X0, a0)	p3(a35, a0)	1
p6(X5, X7)	p6(a0, a68)	1
p0(X6, X0, X1)	p0(a24, a74, a0)	1
p3(X8, X0)	p3(a86, a0)	1
p8(X7)	p8(a24)	1
p7(X0)	p7(a3)	1
p3(X1, X0)	p3(a75, a0)	1
p4(X0, X1, a0)	p4(a29, a67, a0)	1
p8(X6)	p8(a42)	1
p5(a21)	p5(a21)	1
p8(X5)	p8(a3)	1
p9(X5)	p9(a9)	1
p3(X1, X0)	p3(a18, a50)	1
p9(X6)	p9(a15)	1
p0(X0, X1, X2)	p0(X3, a2, X3) :- p6(X3, X3), p2(X3)	1
p3(X7, X0)	p3(a87, a0)	1
p0(a90, X0, X1)	p0(a90, a25, a16)	1
p9(X1)	p9(a8)	1
p9(X8)	p9(a69)	1
p2(X4)	p2(a41)	1
p3(X9, X3)	p3(a67, a14)	1
p6(X0, X1)	p6(a45, a20)	1
p9(a69)	p9(a69)	1
p0(X6, a2, X6)	p0(X3, a2, X3) :- p6(X3, X3), p2(X3)	1
p9(X2)	p9(a87)	1
p2(X5)	p2(a98)	1
p2(X8)	p2(X7) :- p2(X7)	1
p9(X3)	p9(a8)	1
p2(X2)	p2(a95)	1
p3(X6, X0)	p3(a48, a0)	1
p9(X3)	p9(a38)	1
p5(X9)	p5(a21)	1
p2(X5)	p2(a42)	1
p8(X0)	p8(a30)	1
p8(X4)	p8(a1)	1
p2(X4)	p2(a49)	1
p2(X0)	p2(a88)	1
p8(X6)	p8(a24)	1
p0(X4, X0, X1)	p0(a26, a82, a20)	1
p5(X1)	p5(a24)	1
p0(X9, X0, X1)	p0(a44, a19, a27)	1
p6(X5, X7)	p6(a0, a65)	1
p2(X5)	p2(X8) :- p9(X8)	1
p8(X9)	p8(a3)	1
p9(X6)	p9(a61)	1
p5(X1)	p5(a88)	1
p3(X1, X0)	p3(a16, a84)	1
p3(X8, X5)	p3(a79, a19)	1
p8(X3)	p8(a3)	1
p3(X1, X2)	p3(a87, a0)	1
p5(X9)	p5(a11)	1
p2(X5)	p2(a90)	1
p3(a57, X0)	p3(X4, a15) :- p2(X4), p5(X4)	1
p2(X7)	p2(a52)	1
p0(X7, X0, X1)	p0(a14, a23, a10)	1
p3(X9, X3)	p3(a18, a50)	1
p0(X0, X1, X2)	p0(a14, a23, a10)	1
p9(X1)	p9(a61)	1
p5(X0)	p5(a61)	1
p2(a9)	p2(X7) :- p2(X7)	1
p0(X8, X0, X1)	p0(a90, a25, a16)	1
p0(X5, X0, X1)	p0(a20, a0, a19)	1
p0(X3, X0, X1)	p0(a20, a0, a19)	1
p3(X2, X0)	p3(a15, a82)	1
p2(X1)	p2(a98)	1
p2(X2)	p2(a83)	1
p3(X6, X0)	p3(a31, a68)	1
p7(X4)	p7(a15)	1
p3(X9, X0)	p3(a16, a84)	1
p0(X0, X1, X2)	p0(a26, a82, a20)	1
p3(X1, X2)	p3(a31, a68)	1
p2(a65)	p2(X7) :- p2(X7)	1
p2(X1)	p2(a42)	1
p0(X8, X0, X1)	p0(a45, a85, a30) :- p8(X5)	1
p2(X0)	p2(a1)	1
p9(X5)	p9(a38)	1
p2(a0)	p2(X7) :- p2(X7)	1
p3(a61, X0)	p3(X4, a15) :- p2(X4), p5(X4)	1
p9(X0)	p9(a61)	1
p3(X0, X8)	p3(a87, a0)	1
p3(X1, X6)	p3(a21, a1)	1
p7(X0)	p7(a42)	1
p0(X8, X0, X1)	p0(a31, a50, a0)	1
p3(a15, X0)	p3(a15, a82)	1
p5(X5)	p5(a57)	1
p2(X7)	p2(a40)	1
p5(X6)	p5(a98)	1
p6(X5, X7)	p6(a15, a80)	1
p6(X0, X1)	p6(a42, a68)	1
p0(a0, X0, X1)	p0(X3, a2, X3) :- p6(X3, X3), p2(X3)	1
p5(X4)	p5(a24)	1
p2(X1)	p2(a24)	1
p3(X4, X0)	p3(a67, a14)	1
p6(X5, X5)	p6(X2, X2) :- p0(X2, X0, X9)	1
p2(X4)	p2(a98)	1
p2(X2)	p2(a17)	1
p3(X0, X8)	p3(a31, a68)	1
p7(X8)	p7(a98)	1
p0(X1, a0, X0)	p0(a20, a0, a19)	1
p0(X4, X0, X1)	p0(a22, a24, a0)	1
p8(X1)	p8(a1)	1
p0(X6, X0, X1)	p0(a47, a61, a21)	1
p6(X7, X7)	p6(X2, X2) :- p0(X2, X0, X9)	1
p8(X2)	p8(a59)	1
p3(X5, X0)	p3(a29, a17)	1
p8(X5)	p8(a28)	1
p3(X0, a0)	p3(a86, a0)	1
p6(X0, X1)	p6(a57, a2)	1
p8(X6)	p8(a59)	1
p9(X8)	p9(a0)	1
p9(X0)	p9(a5)	1
p0(X4, X0, X1)	p0(a0, a17, a64)	1
p2(X6)	p2(a0)	1
p1(a66, X0, a41)	p1(a66, a62, a41)	1
p3(a19, X0)	p3(X4, a15) :- p2(X4), p5(X4)	1
p2(X9)	p2(a57)	1
p8(X4)	p8(a52)	1
p7(X2)	p7(a98)	1
p0(X8, X0, X1)	p0(a37, a4, a55)	1
p2(X9)	p2(X7) :- p2(X7)	1
p2(a15)	p2(X8) :- p9(X8)	1
p3(X1, X0)	p3(a87, a0)	1
p3(X9, X3)	p3(a35, a1)	1
p8(X7)	p8(a87)	1
p9(X8)	p9(a9)	1
p3(X8, X5)	p3(a35, a0)	1
p2(X7)	p2(a98)	1
p5(X8)	p5(a95)	1
p8(X9)	p8(a28)	1
p8(X8)	p8(a42)	1
p2(X7)	p2(a42)	1
p7(a0)	p7(X2) :- p5(X2), p3(X2, X0)	1
p3(X7, X0)	p3(X4, a15) :- p2(X4), p5(X4)	1
p0(X4, X0, X1)	p0(a24, a74, a0)	1
p3(X1, X0)	p3(a31, a68)	1
p5(a4)	p5(a4)	1
p9(X0)	p9(a1)	1
p3(X9, X0)	p3(a87, a0)	1
p8(X3)	p8(a28)	1
p9(X9)	p9(a61)	1
p0(X0, a21, X2)	p0(a23, a21, a10)	1
p2(X6)	p2(a88)	1
p0(X4, X0, X1)	p0(a20, a0, a19)	1
p8(X7)	p8(a18)	1
p7(X4)	p7(X2) :- p5(X2), p3(X2, X0)	1
p5(X5)	p5(a98)	1
p2(X6)	p2(a27)	1
p5(X1)	p5(a11)	1
p7(a88)	p7(X2) :- p5(X2), p3(X2, X0)	1
p8(X5)	p8(a1)	1
p8(X6)	p8(a87)	1
p7(X2)	p7(a3)	1
p2(X9)	p2(a12)	1
p3(X6, X0)	p3(a35, a0)	1
p6(a0, a0)	p6(X2, X2) :- p0(X2, X0, X9)	1
p3(X1, X2)	p3(a35, a0)	1
p7(X6)	p7(a15)	1
p0(X0, X1, X7)	p0(a26, a82, a20)	1
p5(X8)	p5(a98)	1
p6(X0, X1)	p6(a42, a10)	1
p2(X6)	p2(a1)	1
p8(X1)	p8(a52)	1
p4(X0, a29, a20)	p4(a45, a29, a20)	1
p0(X1, a21, X0)	p0(a23, a21, a10)	1
p5(X9)	p5(a4)	1
p5(a19)	p5(a19)	1
p8(X9)	p8(a1)	1
p7(X4)	p7(a42)	1
p8(X7)	p8(a28)	1
p7(a24)	p7(X2) :- p5(X2), p3(X2, X0)	1
p3(X1, X6)	p3(a75, a0)	1
p8(X4)	p8(a59)	1
p3(X7, X0)	p3(a67, a14)	1
p3(X0, X8)	p3(X4, a15) :- p2(X4), p5(X4)	1
p9(X6)	p9(a69)	1
p8(X3)	p8(a1)	1
p9(X4)	p9(a61)	1
p8(X4)	p8(a19)	1
p3(X1, X6)	p3(a18, a50)	1
p6(X5, X7)	p6(a15, a33)	1
p7(X1)	p7(a14)	1
p5(X6)	p5(a24)	1
p8(X2)	p8(a28)	1
p9(X6)	p9(a73)	1
p6(a45, a45)	p6(X2, X2) :- p0(X2, X0, X9)	1
p8(X8)	p8(a15)	1
p5(X4)	p5(a57)	1
p5(X9)	p5(a95)	1
p9(X9)	p9(a1)	1
p5(X0)	p5(a1)	1
p3(X1, X0)	p3(a21, a1)	1
p2(X1)	p2(a83)	1
p8(X6)	p8(a28)	1
p7(X1)	p7(a84)	1
p3(a87, X0)	p3(a87, a0)	1
p5(X2)	p5(a95)	1
p2(X8)	p2(X8) :- p9(X8)	1
p6(X6, X6)	p6(X2, X2) :- p0(X2, X0, X9)	1
p9(X9)	p9(a73)	1
p8(X7)	p8(a15)	1
p9(a8)	p9(a8)	1
p3(X9, X0)	p3(a21, a1)	1
p3(X8, X5)	p3(a86, a0)	1
p5(X2)	p5(a11)	1
p2(a49)	p2(a49)	1
p2(X8)	p2(a90)	1
p0(X5, X0, X1)	p0(a45, a50, a0)	1
p7(a42)	p7(a42)	1
p0(X3, X0, X1)	p0(a45, a50, a0)	1
p6(X5, X7)	p6(a9, a14)	1
p2(X1)	p2(a17)	1
p2(X6)	p2(a49)	1
p5(X5)	p5(a56)	1
p3(X1, X0)	p3(a15, a82)	1
p3(X1, X0)	p3(a35, a0)	1
p0(X7, X0, X1)	p0(a22, a24, a0)	1
p8(X5)	p8(a52)	1
p6(a19, X8)	p6(a19, X6) :- p7(X6), p8(X6)	1
p8(X2)	p8(a18)	1
p8(X6)	p8(a15)	1
p0(X5, X0, X1)	p0(a23, a21, a10)	1
p2(a9)	p2(X8) :- p9(X8)	1
p2(X3)	p2(a19)	1
p0(X3, X0, X1)	p0(a23, a21, a10)	1
p0(X6, X0, X1)	p0(a10, a49, a17)	1
p8(X1)	p8(a19)	1
p3(X9, X0)	p3(a15, a82)	1
p8(X2)	p8(a1)	1
p3(X8, X5)	p3(a52, a35)	1
p6(X0, X1)	p6(a1, a61)	1
p7(X1)	p7(a44)	1
p9(X4)	p9(a1)	1
p3(X8, X0)	p3(a96, a65)	1
p9(X1)	p9(a5)	1
p5(X4)	p5(a1)	1
p3(X6, X0)	p3(a86, a0)	1
p2(X3)	p2(X8) :- p9(X8)	1
p3(X0, a0)	p3(a48, a0)	1
p8(X6)	p8(a1)	1
p0(X7, X0, X1)	p0(a0, a17, a64)	1
p3(X3, X0)	p3(a86, a0)	1
p0(X4, X0, X1)	p0(a45, a85, a30) :- p8(X5)	1
p3(X1, X2)	p3(a86, a0)	1
p8(a1)	p8(a1)	1
p5(X9)	p5(a19)	1
p6(X0, X1)	p6(a15, a80)	1
p9(X4)	p9(a73)	1
p5(X5)	p5(a24)	1
p0(X0, X1, X7)	p0(a24, a74, a0)	1
p5(X4)	p5(a10)	1
p8(X9)	p8(a52)	1
